,0
0,PL2400223718-00
1,PL2400222451-00
2,PL2400208604-01
3,PL2400208620-01
4,PL2400206991-00
5,PL2400196397-00
6,PL2400180575-00
7,PL2400142789-04
8,PL2400163155-00
9,PL2400069848-01
10,PL2400160035-00
11,PL2400156619-00
12,PL2400156344-00
13,PL2400153199-00
14,PL2400143716-00
15,PL2400141690-00
16,PL2400135911-00
17,PL2400127353-00
18,PL2400111537-02
19,PL2400106284-00
20,PL2400106281-00
21,PL2400101150-02
22,PL2400096945-00
23,PL2400096132-00
24,PL2400096111-00
25,PL2400093404-00
26,PL2400078566-00
27,PL2400075843-00
28,PL2400069679-01
29,PL2400069803-00
30,PL2400056188-02
31,PL2400065706-00
32,PL2400056493-00
33,PL2400056251-00
34,PL2400055584-00
35,PL2400036702-00
36,PL2400036700-00
37,PL2400028641-00
38,PL2400020579-00
39,PL2400020568-00
40,PL2400020549-00
41,PL2400020146-00
42,PL2400018989-00
43,PL2300244230-02
44,PL2300249153-00
45,PL2300245217-00
46,PL2300245194-00
47,PL2300244240-00
48,PL2300244215-00
49,PL2300236506-00
50,PL2300235012-00
51,PL2300232925-04
52,PL2300226627-00
53,PL2300225686-00
54,PL2300206837-01
55,PL2300197788-00
56,PL2300195874-00
57,PL2300183948-00
58,PL2300182344-00
59,PL2300182342-00
60,PL2300177754-00
61,PL2300177227-00
62,PL2300125984-01
63,PL2300161637-00
64,PL2300161633-00
65,PL2300161568-00
66,PL2300147944-00
67,PL2300147572-00
68,PL2300130493-00
69,PL2300128685-00
70,PL2300126026-00
71,PL2300125890-00
72,PL2300120427-00
73,PL2300118288-00
74,PL2300108257-02
75,PL2300110091-01
76,PL2300110147-00
77,PL2200025375-01
78,PL2300099146-00
79,PL2300080986-00
80,PL2300071432-00
81,PL2300030255-00
82,PL2300021505-00
83,PL2300014054-00
84,PL2300013988-00
85,PL2300013986-00
86,PL2300009209-00
87,PL2300008858-00
88,PL2200080811-00
89,PL2200074893-00
90,PL2200059088-00
91,PL2200059077-00
92,PL2200053316-00
93,PL2200041856-00
94,PL2200035371-00
95,PL2200026237-01
96,PL2200016855-00
97,PL2200001473-00
98,PL2200001470-00
99,PL2200001427-00
100,20220913247-00
101,20220636003-00
102,20210545877-00
103,20200845998-00
104,20190652803-00
105,20181140771-00
106,20181045681-00
